name;ctrip_code;timezone;offsetUtc
哈利法克斯;YHZ;America/Halifax;-14400
比萨;PSA;Europe/Rome;3600
哈巴罗夫斯克;KHV;Asia/Vladivostok;36000
杰克逊维尔;JAC;America/New_York;-18000
布拉柴维尔;BZV;Africa/Brazzaville;3600
洛美;LFW;Africa/Lome;0
加齐安特普;GZT;Europe/Istanbul;7200
苏瓦;SUV;Pacific/Fiji;43200
万象;VTE;Asia/Vientiane;25200
普吉岛;HKT;Asia/Bangkok;25200
萨马拉;KUF;Europe/Samara;14400
小石城;LIT;America/Chicago;-21600
巴马科;BAM;Africa/Bamako;0
坎昆;CUN;America/Cancun;-18000
奥斯坦德;OST;Europe/Brussels;3600
加利福尼亚州;BLH;America/Los_Angeles;-28800
温尼伯;YWG;America/Winnipeg;-21600
渥太华;YOW;America/Toronto;-18000
吉布提;JIB;Africa/Djibouti;10800
斯塔万格;SVG;Europe/Oslo;3600
弗里敦;FNA;Africa/Freetown;0
关岛;GUM;Pacific/Guam;36000
阿雷格里港;PGP;Africa/Sao_Tome;0
拉纳卡;LCA;Asia/Nicosia;7200
得梅因;DSM;America/Chicago;-21600
累西腓;REC;America/Recife;-10800
利伯维尔;LBV;Africa/Libreville;3600
尼科西亚;NIC;Asia/Nicosia;7200
麦地那;MED;Asia/Riyadh;10800
韦恩堡;FWA;America/Indiana/Indianapolis;-18000
斯里巴加湾;BWN;Asia/Brunei;28800
魁北克;YQB;America/Montreal;-18000
波兹南;POZ;Europe/Warsaw;3600
图尔库;TKU;Europe/Helsinki;7200
萨斯卡通;YXE;America/Regina;-21600
马瑙斯;MAO;America/Manaus;-14400
第聂伯罗彼得罗夫斯克;DNK;Europe/Kiev;7200
堪培拉;CBR;Australia/Sydney;36000
棉兰;MES;Asia/Jakarta;25200
奥斯汀;AUS;America/Chicago;-21600
恩贾梅纳;NDJ;Africa/Ndjamena;3600
南安普敦;SOU;Europe/London;0
伦敦德里;LDY;Europe/London;0
阿伦敦;ABE;America/New_York;-18000
敖德萨;ODS;Europe/Kiev;7200
纽卡斯尔;NCL;Europe/London;0
安科纳;AOI;Europe/Rome;3600
广岛;HIJ;Asia/Tokyo;32400
莫罗尼;YVA;Indian/Comoro;10800
雷恩;RNS;Europe/Paris;3600
罗切斯特;RCS;Europe/London;0
普利茅斯;PYM;America/Chicago;-21600
列克星敦;LEX;America/New_York;-18000
阿巴斯港;BND;Asia/Tehran;12600
威奇托;IAB;America/Chicago;-21600
冲绳;OKA;Asia/Tokyo;32400
哈里斯堡;MDT;America/New_York;-18000
三宝垄;SRG;Asia/Jakarta;25200
居銮;KLQ;Asia/Kuala_Lumpur;28800
古晋;KCH;Asia/Kuching;28800
惠灵顿;WLG;Pacific/Auckland;43200
堪萨斯城;MCI;America/Chicago;-21600
克麦罗沃;KEJ;Asia/Novokuznetsk;25200
列日;LGG;Europe/Brussels;3600
奥尔顿;ALN;America/Chicago;-21600
札幌;SPK;Asia/Tokyo;32400
桑托斯;SSZ;America/Sao_Paulo;-10800
沙姆沙伊赫;SSH;Africa/Cairo;7200
车里雅宾斯克;CEK;Asia/Yekaterinburg;18000
安大略;YXU;America/Toronto;-18000
莫林;MLI;America/Chicago;-21600
安托法加斯塔;ANF;America/Santiago;-14400
马拉开波;MAR;America/Caracas;-14400
米苏拉塔;MRA;Africa/Tripoli;7200
仙台;SDJ;Asia/Tokyo;32400
清迈;CNX;Asia/Bangkok;25200
塞拉莱;SLL;Asia/Muscat;14400
蒂米什瓦拉;TSR;Europe/Bucharest;7200
蒙斯特;FMO;Europe/Berlin;3600
帕皮提;PPT;Pacific/Tahiti;-36000
不丹帕罗;PBH;Asia/Thimphu;21600
登巴萨;DPS;Asia/Makassar;28800
新奥尔良;MSY;America/Chicago;-21600
贝伦;BEL;America/Belem;-10800
卑尔根;BGO;Europe/Oslo;3600
奥伦堡;REN;Asia/Yekaterinburg;18000
鄂木斯克;OMS;Asia/Omsk;21600
苏尔古特;SGC;Asia/Yekaterinburg;18000
曼德勒;MDL;Asia/Rangoon;23400
布尔诺;BRQ;Europe/Prague;3600
萨姆松;SSX;Europe/Istanbul;7200
马什哈德;MHD;Asia/Tehran;12600
雅温德;YAO;Africa/Douala;3600
阿斯特拉罕;ASF;Europe/Astrakhan;14400
苏里高;SUG;Asia/Manila;28800
科希策;KSC;Europe/Bratislava;3600
卡诺;KAN;Africa/Lagos;3600
诺维奇;NWI;Europe/London;0
格拉茨;GRZ;Europe/Vienna;3600
特古西加尔巴;TGU;America/Tegucigalpa;-21600
圣约翰;YSJ;America/St_Johns;-12600
阿亚库乔;AYC;America/Bogota;-18000
檀香山;HNL;Pacific/Honolulu;-36000
乌法;UFA;Asia/Yekaterinburg;18000
俾斯麦;BIS;America/Chicago;-21600
塔布克;TUU;Asia/Riyadh;10800
多米尼加;DOM;America/Dominica;-14400
奥兰;ORN;Africa/Algiers;3600
摩苏尔;OSM;Asia/Baghdad;10800
坎大哈;KDH;Asia/Kabul;16200
蓬塔阿雷纳斯;PUQ;America/Santiago;-14400
斯波坎;GEG;America/Los_Angeles;-28800
里贾纳;YQR;America/Regina;-21600
圣约翰斯;YYT;America/Phoenix;-25200
特拉布宗;TZX;Europe/Istanbul;7200
鹿儿岛;KOJ;Asia/Tokyo;32400
密尔沃基;MKE;America/Chicago;-21600
考纳斯;KUN;Europe/Vilnius;7200
杰克逊;MJQ;America/Chicago;-21600
库斯科;CUZ;America/Lima;-18000
尤金;EUG;America/Los_Angeles;-28800
美里;MYY;Asia/Kuching;28800
普罗维登斯;PVD;America/New_York;-18000
阿卜哈;AHB;Asia/Riyadh;10800
托木斯克;TOF;Asia/Tomsk;25200
巴东;PDG;Asia/Jakarta;25200
普拉塔港;POP;America/Dominica;-14400
拉塞雷纳;LSC;America/Santiago;-14400
埃阿坎;ECN;Asia/Nicosia;7200
南本德;SBN;America/Indiana/Indianapolis;-18000
利马索尔;LMS;America/New_York;-18000
巴厘岛;BAJ;Asia/Makassar;28800
曼哈顿;MHK;America/Chicago;-21600
卡拉干达;KGF;Asia/Almaty;21600
阿拉加尔萨斯;ARS;America/Cuiaba;-14400
赤塔;HTA;Asia/Chita;32400
苏克雷;SRE;America/La_Paz;-14400
设拉子;SYZ;Asia/Tehran;12600
林登;LDJ;America/New_York;-18000
姆万扎;MWZ;Africa/Dar_es_Salaam;10800
太子港国际;PAP;America/Port-au-Prince;-18000
罗萨里奥;RSJ;America/Havana;-18000
阿斯马拉;ASM;Africa/Asmara;10800
加的夫;CWL;Europe/London;0
霍尼亚拉;HIR;Pacific/Guadalcanal;39600
印第安纳州;IDI;America/Indiana/Indianapolis;-18000
布琼布拉;BJM;Africa/Bujumbura;7200
桑德贝;YQT;America/Thunder_Bay;-18000
布拉瓦约;BUQ;Africa/Harare;7200
合艾;HDY;Asia/Bangkok;25200
诺福克岛;NLK;Pacific/Norfolk;39600
卡拉马祖;AZO;America/Detroit;-18000
康斯坦丁;CZL;Africa/Algiers;3600
埃森;ESS;Europe/Berlin;3600
卡利卡特;CCJ;Asia/Kolkata;19800
布雷西亚;VBS;Europe/Rome;3600
横滨;YOK;Asia/Tokyo;32400
青森;AOJ;Asia/Tokyo;32400
克卢日纳波卡;CLJ;Europe/Bucharest;7200
卢加诺;LUG;Europe/Zurich;3600
哈特福德县;BDL;America/New_York;-18000
格林纳达;GND;America/Chicago;-21600
圣马丁;SXM;America/Los_Angeles;-28800
加那利群岛;LPA;Atlantic/Canary;0
肯多伯冷;CBX;Australia/Darwin;34200
布朗斯维尔;BRO;America/Chicago;-21600
阿巴丹;ABD;Asia/Tehran;12600
瓦拉纳西;VNS;Asia/Kolkata;19800
锡比乌;SBZ;Europe/Bucharest;7200
特雷西纳;THE;America/Fortaleza;-10800
大瀑布城;GTF;America/Denver;-25200
汤斯维尔;TSV;Australia/Brisbane;36000
万鸦老;MDC;Asia/Makassar;28800
阿加迪尔;AGA;Africa/Casablanca;0
大分;OIT;Asia/Tokyo;32400
沙特鲁;CHR;Europe/Paris;3600
暹粒;REP;Asia/Phnom_Penh;25200
布里斯托尔;BRS;Europe/London;0
金门;KNH;Asia/Taipei;28800
里奥格兰德;RGA;America/Argentina/Ushuaia;-10800
扎达尔;ZAD;Europe/Zagreb;3600
岱斯;ABZ;Europe/London;0
斗湖;TWU;Asia/Kuching;28800
萨尔茨堡;SZG;Europe/Vienna;3600
挪威豪斯;YNE;America/Winnipeg;-21600
德文波特;DPO;Australia/Hobart;36000
金伯利;YQE;America/Edmonton;-25200
大阪伊丹;ITM;Asia/Tokyo;32400
门多萨;MDZ;America/Argentina/Mendoza;-10800
福塔莱萨;FOR;America/Fortaleza;-10800
圣托里尼;JTR;Europe/Athens;7200
马尔摩;MMA;Europe/Stockholm;3600
克尔曼;KER;Asia/Tehran;12600
阿克秋宾斯克;AKX;Asia/Aqtobe;18000
拉伯克;LBB;America/Chicago;-21600
宫崎;KMI;Asia/Tokyo;32400
罗拉;RLA;America/Chicago;-21600
瓜拉丁加奴;TGG;Asia/Kuala_Lumpur;28800
上里奥森格尔;ARR;America/Argentina/Catamarca;-10800
圣拉斐尔;AFA;America/Argentina/Mendoza;-10800
荷台达;HOD;Asia/Aden;10800
霍巴特;HBA;Australia/Hobart;36000
海法;HFA;Asia/Jerusalem;7200
熊本;KMJ;Asia/Tokyo;32400
博罗尼亚;BLQ;Europe/Rome;3600
阿卡普尔科;ACA;America/Mexico_City;-21600
雅西;IAS;Europe/Bucharest;7200
布赖顿;BSH;Europe/London;0
宁根;NYN;Australia/Sydney;36000
匹次堡;PTS;America/Chicago;-21600
克莱佩达;KLJ;Europe/Vilnius;7200
基桑加尼;FKI;Africa/Brazzaville;3600
巴尼亚卢卡;BNX;Europe/Sarajevo;3600
哈密尔顿;YHM;America/Toronto;-18000
三宝颜;ZAM;Asia/Manila;28800
阿克拉维克;LAK;America/Yellowknife;-25200
克拉根富;KLU;Europe/Vienna;3600
曼萨尼略;ZLO;America/Mexico_City;-21600
卡塔赫纳;CTG;America/Bogota;-18000
塞云;GXF;Asia/Aden;10800
冈山;OKJ;Asia/Tokyo;32400
伊尔库茨克;IKT;Asia/Irkutsk;28800
考爱岛;LIH;Pacific/Honolulu;-36000
库拉索;CUR;America/Curacao;-14400
杜兰戈;DGO;America/Monterrey;-21600
贾纳克布尔;JKR;Asia/Kathmandu;20700
千岁;CTS;Asia/Tokyo;32400
费耶特维尔;FYV;America/New_York;-18000
罗阿诺克;ROA;America/New_York;-18000
戈亚尼亚;GYN;America/Sao_Paulo;-10800
密歇根;CIU;America/Detroit;-18000
夏洛特城;YYG;America/Halifax;-14400
阿尔盖罗;AHO;Europe/Rome;3600
甲米;KBV;Asia/Bangkok;25200
安纳巴;AAE;Africa/Algiers;3600
香农河;SNN;Europe/Dublin;0
里奥阿查;RCH;America/Bogota;-18000
约克顿;YQV;America/Regina;-21600
帕斯科;PSC;America/Los_Angeles;-28800
马什菲尔德;MFI;America/Chicago;-21600
巴亚马雷;BAY;Europe/Bucharest;7200
科利马;CLQ;America/Mexico_City;-21600
哈西迈萨乌德;HME;Africa/Algiers;3600
茵斯布鲁克;INN;Europe/Vienna;3600
兰辛;LAN;America/Detroit;-18000
雅库茨克;YKS;Asia/Yakutsk;32400
素可泰;THS;Asia/Bangkok;25200
丘吉尔;YYQ;America/Winnipeg;-21600
曼齐尼;MTS;Africa/Mbabane;7200
彼得斯堡;PTB;America/New_York;-18000
蒙特哥贝;MBJ;America/Jamaica;-18000
马塔迪;MAT;Africa/Kinshasa;3600
阿雷基帕;AQP;America/Lima;-18000
马兰热;MEG;Africa/Luanda;3600
运城;YCU;Asia/Shanghai;28800
塔马塔夫;TMM;Indian/Antananarivo;10800
坎贝尔;YBL;America/New_York;-18000
古邦;KOE;Asia/Makassar;28800
博茨菲尤尔;BJF;Europe/Oslo;3600
伊斯其兰岛;ISH;Europe/Rome;3600
坦皮科;TAM;America/Monterrey;-21600
阿加德兹;AJY;Africa/Niamey;3600
耶利马内;EYL;Africa/Bamako;0
拉里萨;LRA;Europe/Athens;7200
腊戎;LSH;Asia/Rangoon;23400
塔科拉迪;TKD;Africa/Accra;0
马费滕;MFC;Africa/Maseru;7200
福特雷索卢申;YFR;America/Regina;-21600
神户;UKB;Asia/Tokyo;32400
基尔;KEL;Europe/Berlin;3600
斯巴达;SPJ;Europe/Athens;7200
特内里费;TFN;Atlantic/Canary;0
拉默齐亚;SUF;Europe/Rome;3600
桑怒;NEU;Asia/Vientiane;25200
考文垂;CVT;Europe/London;0
泽西;JER;Europe/London;0
弗雷斯诺;FAT;America/Los_Angeles;-28800
奥沙卡蒂;OHI;Africa/Windhoek;3600
科纳;KOA;America/New_York;-18000
阿拉萨图巴;ARU;America/Sao_Paulo;-10800
阿马里洛;AMA;America/Chicago;-21600
果阿;GOI;Asia/Kolkata;19800
巴尔瑙尔;BAX;Asia/Barnaul;25200
